"id","robot","url","status_id","http_status","last_run_execution_id","last_run_date","errors","extracted","execution_time","kcu_usage"
"2","007inafrica","http://007inafrica.blogspot.com/","11","200","","","","","",""
"3","0112403","http://01.reg.roszdravnadzor.ru/Default.aspx?pageindex=0&pageid=13","12","200","","","","","",""
"4","02118472","http://www.021.rs","9","200","","","","","",""
"6","0256","http://www.0256.tv/news/","11","404","","","","","",""
"9","0629","http://www.0629.com.ua/news.html","11","200","","","","","",""
"10","0731test-3","http://0731test-3.com","12","404","","","","","",""
"12","09biz","http://09biz.ru/","9","200","","","","","",""
"14","1004","http://1004.newsk.com/","12","200","","","","","",""
"15","100milefr6169","http://www.100milefreepress.net/","9","200","","","","","",""
"16","10413352","http://104.6rtl.com/cms/index.cfm?60B384E2E1B813281F7B83D864736026","11","404","","","","","",""
"19","11612455","http://116.ru/","9","200","","","","","",""
"20","119.82","http://119.82.71.95/dailynewsactivist/epapermain.aspx","12","404","","","","","",""
"21","11channel","http://11channel.dp.ua/","9","200","","","","","",""
"27","16113256","http://161.ru/newsline","9","200","","","","","",""
"28","1655125","http://biochem.yonsei.ac.kr/","9","200","","","","","",""
"29","16816872","http://www.168.am/ru/","11","404","","","","","",""
"33","180.235","http://180.235.150.135/~shamikh/vb/index.php","11","404","","","","","",""
"36","19rus","http://www.19rus.ru/","11","200","","","","","",""
"37","19rus8818","http://www.19rus.info/","11","200","","","","","",""
"38","1k-tv","http://pik.tv/ru/","11","404","","","","","",""
"42","1pezeshk","http://www.1pezeshk.com/","9","200","","","","","",""
"43","1sante","http://www.1sante.com/","12","200","","","","","",""
"44","1sn3887","http://1sn.ru/","11","200","","","","","",""
"45","1stheadli17961","http://www.1stheadlines.com/pakistan.htm","12","200","","","","","",""
"46","1stheadlines","http://www.1stheadlines.com/turkey.htm","12","200","","","","","",""
"48","1tv11196","http://www.1tv.ru/","11","200","","","","","",""
"49","1tv18601","http://www.1tv.ru/allnews/","11","200","","","","","",""
"52","2001","http://www.2001.com.ve/","12","200","","","","","",""
"53","2005","http://2005.panjin.gov.cn/index.asp","12","404","","","","","",""
"55","20510070","http://205.234.235.72/ballondor/bo2006.htm","12","404","","","","","",""
"57","20min8807","http://www.20min.ch/ro/","11","200","","","","","",""
"58","20minutes","http://www.20minutes.fr/","9","200","","","","","",""
"60","20minutos198","http://www.20minutos.es/barcelona/","11","200","","","","","",""
"61","21113705","http://211.138.135.28/lyxx/index.asp","12","404","","","","","",""
